Instance	combined-symD-branchD-consD	combined-symD-branchD-consFull	combined-symD-branchD-consP	combined-symD-branchP-consD	combined-symD-branchP-consFull	combined-symD-branchP-consP	combined-symP-branchD-consD	combined-symP-branchD-consFull	combined-symP-branchD-consP	combined-symP-branchP-consD	combined-symP-branchP-consFull	combined-symP-branchP-consP	direct-domoverwdeg	direct-wdeg	direct	positional-domoverwdeg	positional-wdeg	positional	
Sum	590,451	264.09	14,557.86	374,504.04	72,234.88	43,354.06	619,246.76	264	160.82	403,297.74	57,839.97	43,353.74	432,065.27	432,062.34	576,037.93	72,042.45	100,841.15	43,250.64	
Mean	7,668.19	3.43	189.06	4,863.69	938.12	563.04	8,042.17	3.43	2.09	5,237.63	751.17	563.04	5,611.24	5,611.20	7,481.01	935.62	1,309.63	561.70	
02_02	0.42	0.42	-	0.36	0.32	0.42	0.38	0.37	0.43	0.34	0.33	0.41	0.62	0.54	0.25	0.53	0.66	0.22	
02_03	0.66	0.68	0.50	0.64	0.71	0.57	0.70	0.70	0.53	0.69	0.72	0.50	0.70	0.74	0.47	0.67	0.63	0.28	
02_04	0.82	0.88	0.63	0.81	0.89	0.60	1.09	0.87	0.61	1.06	0.92	0.65	0.81	0.80	0.55	0.64	0.70	0.32	
02_05	1.24	1.05	0.65	1.18	1.06	0.73	1.25	1.04	0.77	1.23	1.01	0.75	0.96	0.97	0.98	0.65	0.70	0.38	
02_06	1.39	1.42	0.90	1.65	1.61	1.04	1.49	1.30	0.96	1.58	1.32	1.09	1.22	1.21	1.22	0.41	0.45	0.43	
02_07	1.75	1.72	1	1.76	1.87	1.07	1.79	1.88	1.09	1.92	1.86	1.22	1.41	1.30	1.51	0.55	0.40	0.42	
02_08	1.85	1.94	1.24	1.87	2.01	1.16	1.87	2.13	1.29	1.96	2.11	1.18	1.52	1.51	1.68	0.52	0.53	0.39	
02_09	2.24	2.27	1.09	2.30	2.09	1.46	2.14	2.07	1.21	2.10	2.14	1.35	1.73	1.68	1.68	0.56	0.56	0.47	
02_10	2.21	2.38	1.20	2.26	2.21	1.41	2.28	2.32	1.27	2.19	2.15	1.16	1.70	1.69	1.67	0.47	0.41	0.40	
03_02	0.34	0.33	0.53	0.33	0.32	0.51	0.31	0.34	0.52	0.32	0.32	0.51	0.51	0.41	0.27	0.27	0.25	0.28	
03_03	0.53	0.51	0.60	0.50	0.53	0.66	0.53	0.53	0.60	0.49	0.50	0.63	0.42	0.37	0.38	0.30	0.28	0.27	
03_04	0.98	0.97	0.71	1.02	1.04	0.74	1.05	1.02	0.76	1.03	1.06	0.73	0.74	0.68	0.69	0.31	0.30	0.31	
03_05	1.24	1.31	0.82	1.31	1.19	0.88	1.48	1.17	0.82	1.48	1.17	0.88	0.92	0.93	0.86	0.34	0.35	0.32	
03_06	1.72	1.39	0.91	1.76	1.34	0.91	1.73	1.39	0.91	1.74	1.43	0.93	1.32	1.38	1.25	0.42	0.38	0.36	
03_07	1.99	2.11	1.29	1.95	2.08	1.24	2.01	2.19	1.44	1.94	2.08	1.28	1.48	1.48	1.48	0.47	0.48	0.47	
03_08	2.32	2.23	1.48	2.08	2.37	1.44	2.43	2.31	1.48	2.32	2.28	1.65	1.70	1.63	1.59	0.56	0.55	0.61	
04_02	0.35	0.37	0.62	0.35	0.36	0.64	0.35	0.36	0.62	0.35	0.37	0.65	0.31	0.32	0.33	0.26	0.26	0.28	
04_03	0.46	0.47	0.97	0.45	0.47	0.80	0.44	0.47	0.78	0.56	0.47	0.80	0.43	0.42	0.43	0.33	0.34	0.32	
04_04	0.80	0.81	0.93	0.82	0.85	1.03	0.81	0.82	0.96	0.83	0.82	0.94	0.56	0.56	0.55	0.33	0.37	0.31	
04_05	1.49	1.43	1.03	1.48	1.45	1.03	1.46	1.63	1.04	1.57	1.49	1.01	0.97	1.03	1.06	0.39	0.38	0.37	
04_06	1.71	1.70	1.20	1.69	1.72	1.16	2.14	1.58	1.15	2.07	1.60	1.13	1.17	1.22	1.19	0.40	0.40	0.39	
04_07	2.60	2.22	1.30	2.74	2.98	1.41	2.90	2.23	1.44	2.65	2.13	1.29	1.74	1.76	1.64	0.43	0.42	0.45	
04_08	3.13	2.53	2.15	3.01	2.61	2.17	-	3.42	2.11	2.99	3.20	2.18	1.91	1.86	1.87	0.56	0.56	0.59	
05_02	0.40	0.53	0.76	0.43	0.45	0.78	0.40	0.45	0.78	0.38	0.42	0.79	0.41	0.39	0.35	0.32	0.32	0.26	
05_03	0.53	0.58	0.90	0.63	0.52	0.92	0.55	0.55	0.97	0.54	0.55	0.93	0.50	0.54	0.49	0.35	0.38	0.34	
05_04	0.70	0.66	1.10	0.68	0.67	1.19	0.85	0.73	1.18	0.66	0.73	1.10	0.60	0.59	0.59	0.39	0.42	0.37	
05_05	1.11	1.20	1.26	1.19	1.16	1.28	1.10	1.22	1.25	1.19	1.24	1.36	0.80	0.79	0.89	0.44	0.42	0.41	
05_06	2.38	2.42	1.47	2.36	2.44	1.54	2.40	2.51	1.51	2.34	2.42	1.52	1.34	1.34	1.30	0.45	0.47	0.63	
05_07	2.54	2.74	1.79	2.73	2.59	1.85	3.41	2.86	1.93	3.46	2.56	1.92	1.59	1.56	1.51	0.49	0.54	0.48	
06_02	0.60	0.49	0.94	0.49	0.56	0.90	0.48	0.50	0.97	0.48	0.50	0.90	0.40	0.45	0.41	0.33	0.33	0.34	
06_03	0.61	0.69	1.10	0.63	0.63	1.10	0.61	0.62	1.12	0.70	0.64	1.15	0.57	0.54	0.59	0.40	0.37	0.38	
06_04	0.82	0.73	1.38	0.79	0.81	1.35	0.74	0.74	1.33	0.74	0.75	1.34	0.91	0.67	0.66	0.41	0.45	0.42	
06_05	0.84	0.86	1.83	0.85	0.86	1.92	0.86	0.87	1.88	0.86	0.86	1.93	0.82	0.77	0.74	0.46	0.49	0.49	
06_06	1.64	1.56	1.94	1.66	1.68	1.93	1.62	1.64	1.92	1.71	1.60	1.86	1.07	1.04	0.99	0.51	0.53	0.49	
06_07	3.35	3.25	2.21	3.04	3.32	2.08	3.13	2.83	2.29	3.05	3.21	2.27	1.71	1.65	1.76	0.62	0.55	0.55	
06_08	3.29	3.38	2.14	3.16	3.35	2.08	-	3.63	2.09	3.99	3.54	2.02	2.14	1.99	1.98	0.61	0.58	0.61	
02_11	-	2.45	1.32	2.20	2.63	1.33	-	2.62	1.21	2.43	2.27	1.34	1.96	1.95	-	0.45	0.48	0.47	
02_12	-	3.01	1.36	2.73	2.94	1.35	-	2.67	1.41	2.44	2.75	1.36	-	-	-	0.53	0.51	0.46	
02_13	-	2.87	1.42	-	2.92	1.71	-	2.89	1.47	-	2.73	1.54	-	-	-	0.47	0.53	0.47	
02_14	-	3.53	1.45	-	3.34	1.53	-	3.29	1.54	-	3.33	1.60	-	-	-	0.46	0.54	0.48	
03_09	-	2.63	1.58	2.71	2.76	1.55	-	3.38	1.60	2.74	2.82	1.53	1.92	1.82	-	0.54	0.54	1.48	
03_10	-	4.05	1.74	2.94	3.28	1.79	-	3.15	1.66	2.76	3.27	1.78	1.92	2.06	-	0.56	0.54	0.56	
03_11	-	3.29	1.80	3.15	3.15	1.84	-	3.38	1.82	3.19	3.68	1.88	-	2.15	-	0.54	0.60	0.60	
03_12	-	3.93	2.27	3.43	3.57	2.10	-	3.81	2.21	3.35	3.68	2.19	-	-	-	0.64	0.62	0.60	
03_13	-	3.64	2.41	3.88	3.70	2.48	-	4.08	2.37	-	4.25	2.43	-	-	-	0.59	0.74	0.76	
03_14	-	5.25	2.52	-	4.38	2.54	-	4.15	2.42	-	3.99	2.52	-	-	-	0.65	0.61	0.79	
03_15	-	4.46	2.56	-	4.63	2.59	-	5.14	2.75	-	4.40	2.56	-	-	-	0.74	0.68	0.70	
03_16	-	5.27	2.69	-	-	-	-	4.45	3.25	-	-	-	-	-	-	0.67	0.67	-	
03_17	-	5.19	2.80	-	-	-	-	5.11	2.63	-	-	-	-	-	-	0.72	-	-	
04_09	-	3.47	2.44	3.24	3.38	2.39	-	3.46	2.35	3.22	3.67	2.45	2.20	2.12	-	0.63	0.62	0.67	
04_10	-	3.74	2.48	3.62	4.10	2.56	-	3.58	2.44	3.82	3.89	2.53	-	2.25	-	0.62	0.62	0.78	
04_11	-	3.95	2.57	3.77	4.01	2.56	-	4.04	2.39	4.03	4.18	2.47	-	-	-	0.70	0.71	0.70	
04_12	-	4.08	2.65	-	4.65	2.93	-	4.47	2.63	-	5.19	2.71	-	-	-	0.73	0.70	0.73	
04_13	-	4.91	3.12	-	5.04	3.10	-	4.81	2.99	-	4.69	2.98	3.08	-	-	0.79	0.76	0.72	
04_14	-	5.71	2.78	-	5.77	3.08	-	5.35	2.88	-	6	3.16	-	-	-	0.84	0.77	1.67	
04_15	-	5.48	3.13	-	5.61	3.22	-	5.71	3.01	-	5.64	3.19	-	-	-	0.82	0.84	0.86	
04_16	-	5.76	2.99	-	-	3.06	-	5.87	3.20	-	6.23	3.32	-	-	-	0.84	0.89	0.89	
04_17	-	7	3.26	-	-	-	-	6.64	3.41	-	-	-	-	-	-	0.90	0.92	-	
05_08	-	2.97	2	3.70	3.01	1.92	-	3.21	2.15	3.72	2.70	1.96	2.02	2.04	2.06	0.53	0.59	0.55	
05_09	-	3.41	2.08	3.84	3.85	2.19	-	4.46	2.31	4.03	3.72	2.18	2.68	2.42	-	0.70	0.71	0.77	
05_10	-	4.57	2.22	4	4.26	2.32	-	5.19	2.76	4.33	4.54	2.81	2.80	2.84	-	0.73	0.75	1.38	
05_11	-	4.74	3.06	-	4.86	3.04	-	5.42	3.02	-	5.10	3.06	3.10	-	-	0.84	0.81	0.97	
05_12	-	5.38	3.16	-	5.50	3.21	-	5.11	3.18	-	5.63	3.06	-	-	-	0.81	0.85	0.87	
05_13	-	5.97	3.40	-	6.86	3.46	-	5.64	3.18	-	6.79	3.31	-	-	-	0.95	0.87	1.79	
05_14	-	7.13	3.52	5.59	6.62	3.75	-	6.56	3.52	-	6.45	3.71	-	-	-	0.94	0.91	1.01	
05_15	-	6.81	3.63	-	7.17	3.91	-	6.85	4.04	-	7.35	3.83	-	-	-	0.97	0.98	1.26	
05_16	-	7.63	3.87	-	7.66	4.87	-	7.82	3.92	-	7.99	4.76	-	-	-	1.07	1.08	1.79	
05_17	-	8.28	4.03	-	-	4.13	-	8.33	4.16	-	-	4.13	-	-	-	1.06	1.06	1.17	
06_09	-	3.61	2.43	4.28	3.89	2.38	-	3.58	2.36	4.16	3.96	2.44	2.86	2.81	-	0.66	0.69	0.79	
06_10	-	3.94	2.39	-	4.25	2.30	-	4.09	2.33	-	4.07	2.41	3.02	3.08	-	0.87	0.86	1.05	
06_11	-	6.02	3.53	-	5.73	3.45	-	6.09	3.77	-	6.14	3.78	-	-	-	0.88	0.92	0.94	
06_12	-	6.79	3.69	-	6.95	3.92	-	6.20	3.79	-	6.31	3.77	-	-	-	-	-	1.10	
06_13	-	7.53	4.15	-	7.28	4.22	-	7.18	3.96	-	7	4.06	-	-	-	-	-	1.10	
06_14	-	7.63	4.22	-	7.93	4.30	-	7.59	4.20	-	7.66	4.26	-	-	-	-	-	1.21	
06_15	-	8.55	4.94	-	8.71	4.94	-	8.43	4.71	-	8.03	4.70	-	-	-	0.86	-	1.41	
06_16	-	9.15	4.63	-	9.32	4.82	-	9.16	4.68	-	9.38	4.75	-	-	-	-	-	1.33	
06_17	-	10.09	5.01	-	10.10	5.23	-	9.73	5.13	-	9.99	5.22	-	-	-	-	-	1.40	
